Date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,HINDUNILVR,SBIN,BHARTIARTL,ITC,KOTAKBANK
2023-01-02,2400.0,3200.0,1600.0,1500.0,900.0,2600.0,550.0,750.0,350.0,1800.0
2023-01-03,2418.6,3169.15,1596.34,1501.96,894.15,2626.19,535.88,751.91,350.06,1803.95
2023-01-04,2414.31,3197.23,1617.98,1514.03,913.9,2582.16,548.06,756.24,351.78,1791.8
2023-01-05,2438.49,3161.58,1634.3,1479.0,918.65,2575.13,548.56,756.55,361.45,1765.65
2023-01-06,2494.93,3076.93,1596.15,1467.71,923.07,2575.65,552.37,733.1,359.7,1727.9
2023-01-09,2486.92,3002.74,1631.98,1485.64,931.96,2599.56,560.42,735.08,361.31,1745.69
2023-01-10,2478.93,3005.81,1666.25,1458.13,916.32,2626.4,552.0,759.7,358.66,1761.35
2023-01-11,2538.4,3018.42,1651.11,1464.99,930.88,2598.26,556.09,755.83,354.21,1777.13
2023-01-12,2568.38,2978.38,1661.41,1435.62,930.1,2602.24,554.02,747.8,351.21,1774.23
2023-01-13,2551.06,3007.8,1674.22,1446.09,939.73,2620.87,561.22,752.21,348.79,1812.21
2023-01-16,2572.59,2933.74,1681.27,1445.75,924.9,2678.89,543.48,755.96,350.78,1799.59
2023-01-17,2555.48,2931.71,1667.9,1411.16,903.62,2708.0,542.84,769.71,363.25,1825.92
2023-01-18,2538.39,2879.33,1651.6,1436.24,914.98,2740.86,538.09,755.42,359.46,1825.41
2023-01-19,2548.36,2852.04,1651.46,1420.85,920.42,2745.13,541.74,763.93,357.32,1809.3
2023-01-20,2475.99,2854.92,1681.01,1404.01,908.24,2804.03,545.72,770.92,357.09,1825.92
2023-01-23,2412.67,2818.93,1695.22,1408.66,896.66,2822.11,540.09,769.51,359.32,1837.69
2023-01-24,2393.04,2803.52,1686.3,1433.35,912.07,2786.51,534.48,773.65,360.85,1848.08
2023-01-25,2357.4,2846.68,1706.33,1411.94,896.07,2846.0,533.75,785.83,367.91,1850.89
2023-01-26,2369.22,2822.9,1633.93,1413.67,918.42,2876.65,526.73,796.35,354.63,1850.39
2023-01-27,2337.66,2859.13,1662.58,1423.19,906.29,2858.4,533.54,782.94,342.04,1917.24
2023-01-30,2288.84,2811.54,1619.69,1438.41,915.24,2838.7,530.75,792.81,339.6,1951.87
2023-01-31,2339.85,2834.73,1611.37,1442.65,911.0,2852.18,507.77,792.28,345.29,1973.62
2023-02-01,2332.63,2896.88,1584.79,1435.14,919.52,2872.85,505.07,793.38,337.28,1977.52
2023-02-02,2335.69,2790.35,1554.49,1417.75,912.29,2882.21,497.35,794.49,322.16,2007.99
2023-02-03,2286.47,2757.83,1582.02,1420.01,910.34,2896.53,485.33,792.94,325.02,2024.19
2023-02-06,2268.49,2782.53,1571.4,1397.6,911.17,2971.26,476.47,807.35,326.31,2025.59
2023-02-07,2272.94,2774.89,1580.04,1336.78,897.75,3019.91,477.39,806.58,321.07,2016.97
2023-02-08,2234.38,2791.17,1579.4,1345.93,908.0,3029.45,487.05,793.28,316.42,2015.13
2023-02-09,2247.64,2766.72,1591.18,1364.58,901.28,3073.13,489.48,788.84,311.91,1919.9
2023-02-10,2228.06,2771.14,1593.49,1316.62,898.46,3026.46,485.17,791.19,312.52,1926.54
2023-02-13,2218.98,2765.5,1563.3,1297.07,885.33,3045.43,488.63,806.02,309.68,1913.0
2023-02-14,2199.62,2814.77,1587.13,1309.51,851.57,3129.0,485.41,813.55,312.07,1959.28
2023-02-15,2261.39,2826.36,1575.85,1350.32,849.39,3119.7,480.5,803.41,298.8,1960.44
2023-02-16,2261.61,2841.52,1539.53,1351.15,880.38,3080.97,472.32,833.6,295.05,1926.06
2023-02-17,2226.41,2824.82,1530.11,1336.8,891.01,3051.76,460.05,837.16,290.15,1925.2
2023-02-20,2254.55,2805.01,1565.01,1333.53,891.02,3002.8,457.5,853.43,289.12,1895.57
2023-02-21,2213.94,2787.65,1585.44,1361.43,887.77,2968.35,458.72,851.74,286.87,1909.6
2023-02-22,2221.54,2804.98,1577.62,1348.65,888.34,2952.74,458.19,858.81,290.39,1918.51
2023-02-23,2156.9,2788.11,1569.83,1332.89,895.9,2891.37,455.47,869.88,282.38,1946.65
2023-02-24,2114.58,2801.07,1562.73,1323.64,880.3,2892.91,449.15,886.04,282.66,1924.14
2023-02-27,2121.46,2889.11,1611.88,1305.11,895.28,2932.93,453.38,900.36,285.11,1925.7
2023-02-28,2145.6,2927.73,1621.6,1307.9,905.16,2893.87,444.56,912.41,293.14,1886.85
2023-03-01,2151.76,2914.29,1632.55,1340.17,915.18,2960.69,449.87,908.37,291.11,1907.27
2023-03-02,2148.67,2967.67,1658.27,1347.07,921.47,2984.26,443.24,900.85,292.61,1922.69
2023-03-03,2139.61,2950.39,1664.71,1342.38,922.02,3031.29,438.37,905.61,284.78,1937.57
2023-03-06,2092.8,2861.08,1658.74,1336.91,931.6,3002.29,428.86,918.56,274.65,1938.2
2023-03-07,2070.83,2818.68,1654.35,1305.96,940.15,3041.67,425.76,915.77,278.21,1950.84
2023-03-08,2057.14,2740.43,1653.07,1323.65,935.44,2992.76,432.12,930.68,278.27,1998.37
2023-03-09,2090.38,2726.8,1652.64,1322.5,927.67,3033.62,435.59,951.24,283.27,1990.42
2023-03-10,2101.78,2728.37,1671.17,1319.32,929.37,3042.35,442.11,938.45,277.52,1995.16
2023-03-13,2046.83,2797.8,1672.97,1382.91,951.24,3068.51,445.71,926.95,279.77,1963.25
2023-03-14,2057.39,2812.36,1691.86,1389.52,933.85,3015.32,438.46,925.28,287.7,1938.27
2023-03-15,2046.12,2803.96,1690.32,1374.27,913.57,2975.74,436.42,929.83,289.6,1941.7
2023-03-16,2025.96,2839.69,1692.82,1365.89,916.1,3003.29,431.44,922.79,290.89,1974.44
2023-03-17,2045.16,2746.36,1642.59,1389.83,917.07,2961.47,440.18,941.78,291.01,1967.44
2023-03-20,2077.4,2756.89,1665.66,1392.61,919.73,2982.94,432.41,948.05,284.24,1961.07
2023-03-21,2107.04,2789.59,1674.82,1362.98,923.37,2922.66,438.34,948.9,290.1,1949.69
2023-03-22,2081.15,2728.56,1700.39,1382.18,920.56,2960.72,444.34,928.75,287.53,1934.64
2023-03-23,2072.12,2776.19,1627.03,1368.74,941.41,2906.87,456.67,910.7,289.79,1943.78
2023-03-24,2083.04,2791.12,1678.49,1407.61,919.09,2931.82,454.0,914.81,283.08,1900.71
2023-03-27,2114.15,2774.57,1675.48,1430.84,907.94,2960.21,458.99,885.82,278.16,1937.8
2023-03-28,2099.59,2801.74,1703.83,1421.67,906.81,2930.16,474.84,899.54,284.23,1919.04
2023-03-29,2094.37,2898.01,1677.76,1449.41,884.73,2956.62,470.58,897.68,282.83,1940.4
